k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
0,-1,-1,0,0,0,0,0.0194157232653195,27.848101265822784,1
1,-1,0,2,0,0,9,0.0673236652494932,36.70886075949368,0
1,0,-1,2,0,0,9,0.0735278859128817,39.24050632911392,0
1,1,0,2,2,0,9,0.0969130591429336,42.27848101265823,0
1,1,0,4,2,0,9,0.1085760596868189,42.53164556962026,0
1,1,1,2,2,2,9,0.1135588676781185,43.41772151898734,0
1,1,1,2,2,4,9,0.1276242710220616,43.9240506329114,0
1,1,1,4,2,2,9,0.1248511483835645,43.67088607594937,0
1,1,1,4,2,4,9,0.1388677728013972,44.177215189873415,0
1,1,3,2,2,2,9,0.3337981580130247,51.13924050632911,0
1,1,3,2,2,4,9,0.4314877133343869,52.27848101265823,0
1,1,5,2,2,2,9,0.5996920842409896,54.55696202531646,0
1,1,5,4,2,2,9,0.5937166251033428,54.43037974683544,0
1,1,10,2,2,2,9,1.3391367030416397,58.607594936708864,0
1,1,10,4,2,2,9,1.2945283344245306,58.35443037974684,0
1,5,-1,4,4,0,9,1.0436617049562282,57.08860759493671,0
1,10,-1,2,2,0,9,1.8476823757533685,60.25316455696203,0
1,10,-1,4,2,0,9,1.814092459246187,60.12658227848101,0
1,10,-1,4,4,0,9,2.3662605068183264,63.29113924050633,0
3,-1,-1,4,0,0,9,0.2089169278080443,44.81012658227848,1
5,-1,-1,2,0,0,9,0.281233410940971,48.10126582278481,1
10,-1,-1,2,0,0,9,0.6214215824267255,56.58227848101266,1
-1,0,-1,0,0,0,0,0.0882331648657153,30.37974683544304,1
-1,10,-1,0,2,0,9,2.6780726273741617,58.22784810126582,1
-1,10,-1,0,4,0,9,3.438401501260745,61.51898734177215,1
3,-1,-1,2,0,0,9,0.147386395216931,40.63291139240507,1
