k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
0,-1,-1,0,0,0,0,0.0194157232653195,27.848101265822784,1
1,-1,0,2,0,0,9,0.0673236652494932,36.70886075949368,0
1,0,-1,2,0,0,9,0.0735278859128817,39.24050632911392,0
1,1,0,2,2,0,9,0.0969130591429336,42.27848101265823,0
1,1,0,4,2,0,9,0.108159642573768,42.65822784810126,0
1,1,1,2,2,2,9,0.1135588676781185,43.41772151898734,0
1,1,1,2,2,4,9,0.1276242710220616,43.9240506329114,0
1,1,1,4,2,2,9,0.1243810744517921,43.79746835443038,0
1,1,1,4,2,4,9,0.1383464809972088,44.303797468354425,0
1,1,3,2,2,2,9,0.3337981580130247,51.13924050632911,0
1,1,3,2,2,4,9,0.4314877133343869,52.27848101265823,0
1,1,5,4,2,2,9,0.5926221809173569,54.55696202531646,0
1,1,10,2,2,2,9,1.3391367030416397,58.607594936708864,0
1,1,10,4,2,2,9,1.2927680578971372,58.48101265822785,0
1,5,-1,4,4,0,9,1.0322812606360483,57.08860759493671,0
1,10,-1,2,2,0,9,1.8476823757533685,60.25316455696203,0
1,10,-1,4,2,0,9,1.7993624225561051,60.12658227848101,0
1,10,-1,4,4,0,9,2.3474231346063705,63.29113924050633,0
3,-1,-1,4,0,0,9,0.2089169278080443,44.81012658227848,1
3,1,3,2,2,4,9,0.534873652907949,52.78481012658227,0
3,1,3,4,2,4,9,0.5725534079681537,52.91139240506328,0
3,5,-1,4,4,0,9,1.080617705559502,57.21518987341773,0
3,10,-1,4,2,0,9,1.753413969569929,59.87341772151898,0
3,10,-1,4,4,0,9,2.2417232640705063,62.911392405063296,0
5,-1,-1,2,0,0,9,0.281233410940971,48.10126582278481,1
10,-1,-1,2,0,0,9,0.6214215824267255,56.58227848101266,1
-1,0,-1,0,0,0,0,0.0882331648657153,30.37974683544304,1
-1,10,-1,0,2,0,9,2.6780726273741617,58.22784810126582,1
-1,10,-1,0,4,0,9,3.438401501260745,61.51898734177215,1
3,-1,-1,2,0,0,9,0.147386395216931,40.63291139240507,1
