k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
0,-1,-1,0,0,0,0,0.0194157232653195,27.848101265822784,1
1,-1,0,2,0,0,9,0.0673236652494932,36.70886075949368,0
1,-1,0,4,0,0,9,0.0733348806654321,37.721518987341774,0
1,0,-1,2,0,0,9,0.0735278859128817,39.24050632911392,0
1,0,-1,4,0,0,9,0.0805170555064416,40.37974683544304,0
1,1,0,2,2,0,9,0.0969130591429336,42.27848101265823,0
1,1,0,4,2,0,9,0.1008733915346071,43.16455696202532,0
1,1,1,2,2,2,9,0.1135588676781185,43.41772151898734,0
1,1,1,4,2,2,9,0.1172240875668239,44.43037974683544,0
1,1,1,4,2,4,9,0.1301553808786995,44.81012658227848,0
1,1,1,4,4,2,9,0.1336112155984574,45.31645569620253,0
1,1,1,4,4,4,9,0.1459986238842017,45.69620253164556,0
3,-1,0,2,0,0,9,0.1667052889029676,46.70886075949367,0
3,0,-1,2,0,0,9,0.1743261045821806,49.240506329113934,0
3,0,-1,4,0,0,9,0.2326255059969615,52.151898734177216,0
3,1,0,2,2,0,9,0.182400201333941,49.87341772151899,0
3,1,0,4,2,0,9,0.2388445213416506,52.27848101265822,0
3,1,1,2,2,2,9,0.1924389043274679,50.75949367088608,0
3,1,1,2,2,4,9,0.1988460162720732,51.01265822784811,0
3,1,1,2,4,2,9,0.2040537747414363,51.64556962025316,0
3,1,1,2,4,4,9,0.2101145563106576,51.89873417721519,0
3,1,1,4,2,2,9,0.2464418390833504,52.91139240506328,0
3,1,1,4,2,4,9,0.251485580043169,53.16455696202531,0
3,1,1,4,4,2,9,0.2562856714397999,53.67088607594936,0
3,1,1,4,4,4,9,0.2611050293395106,53.92405063291139,0
3,1,3,2,4,2,9,0.3341642433020972,56.32911392405063,0
3,1,3,4,2,2,9,0.3580553388629355,57.21518987341773,0
3,1,3,4,2,4,9,0.4064635451349281,58.35443037974684,0
3,1,3,4,4,2,9,0.3632895627019492,57.72151898734177,0
3,1,3,4,4,4,9,0.4080149600526043,58.607594936708864,0
3,3,1,4,2,2,9,0.357002261005068,56.83544303797469,0
3,3,3,4,2,2,9,0.4267683200745134,59.62025316455696,0
3,3,3,4,2,4,9,0.4661451081771597,60.25316455696203,0
3,3,3,4,4,2,9,0.4904529689205618,61.26582278481012,0
3,3,3,4,4,4,9,0.5156985021290158,61.51898734177215,0
3,5,3,4,4,2,9,0.7289823878829899,64.05063291139241,0
3,5,3,4,4,4,9,0.7525352923554119,64.17721518987342,0
3,5,5,4,4,2,9,0.7768150028268793,64.68354430379748,0
5,0,-1,2,0,0,9,0.3018905921782822,54.68354430379747,0
5,1,0,2,4,0,9,0.3148116792621461,54.810126582278485,0
5,1,1,2,2,2,9,0.3150032367071836,55.18987341772152,0
5,1,1,2,2,4,9,0.3203762354182478,55.44303797468355,0
5,1,1,2,4,2,9,0.3242772298738754,55.9493670886076,0
5,1,1,2,4,4,9,0.3294258455248316,56.20253164556962,0
5,1,3,2,4,2,9,0.4128109807643096,58.98734177215189,0
5,1,3,2,4,4,9,0.4515731543979644,59.74683544303797,0
5,3,3,2,2,2,9,0.4762494400715314,60.75949367088607,0
5,3,3,2,2,4,9,0.5091581425719345,61.392405063291136,0
5,3,3,2,4,2,9,0.5380186933631425,62.27848101265823,0
5,3,3,2,4,4,9,0.5537718475505065,62.53164556962025,0
5,3,5,2,4,2,9,0.5874341844593156,62.911392405063296,0
5,3,5,2,4,4,9,0.6430177707621528,63.54430379746836,0
5,5,3,2,4,2,9,0.8020636833123513,65.31645569620254,0
5,5,3,2,4,4,9,0.8186412013509818,65.44303797468355,0
5,5,5,2,2,2,9,0.6984375396157658,63.670886075949376,0
5,5,5,2,2,4,9,0.7566917721231491,64.43037974683544,0
5,5,5,2,4,2,9,0.8469915132063647,65.94936708860759,0
5,5,5,2,4,4,9,0.8816001612817163,66.32911392405063,0
5,5,10,2,4,2,9,1.001413398540465,67.46835443037975,0
10,3,3,2,4,2,9,0.7966076517657439,65.0632911392405,0
10,5,3,2,4,2,9,0.9809292302019854,67.34177215189874,0
10,5,5,2,2,4,9,0.952918552612357,66.58227848101265,0
10,5,5,2,4,2,9,1.0142232862186606,67.72151898734178,0
10,5,5,2,4,4,9,1.03820788418716,67.97468354430379,0
10,5,10,2,4,2,9,1.1287708384037882,68.86075949367088,0
10,10,3,2,4,2,9,1.4533858847847627,69.74683544303797,0
10,10,5,2,4,2,9,1.4879189255246432,70.12658227848101,0
10,10,5,2,4,4,9,1.5134546933434545,70.37974683544303,0
10,10,10,2,2,2,9,1.393741891621107,69.24050632911391,0
10,10,10,2,4,2,9,1.5945203906463814,71.0126582278481,0
-1,0,-1,0,0,0,0,0.0882331648657153,30.37974683544304,1
-1,10,-1,0,2,0,9,2.6780726273741617,58.22784810126582,1
-1,10,-1,0,4,0,9,3.438401501260745,61.51898734177215,1
3,-1,-1,2,0,0,9,0.147386395216931,40.63291139240507,1
3,-1,-1,4,0,0,9,0.2089169278080443,44.81012658227848,1
5,-1,-1,2,0,0,9,0.281233410940971,48.10126582278481,1
10,-1,-1,2,0,0,9,0.6214215824267255,56.58227848101266,1
